Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,Volatility,Log Return,MA50,MA200
2010-06-29,19.0,25.0,17.540001,23.889999,23.889999,18766300,,,,,
2010-06-30,25.790001,30.42,23.299999,23.83,23.83,17187100,-0.002511469339115502,,-0.0025146283685483265,,
2010-07-01,25.0,25.92,20.27,21.959999,21.959999,8218800,-0.07847255560218203,,-0.08172272000666242,,
2010-07-02,23.0,23.1,18.709999,19.200001,19.200001,5139800,-0.12568297475787682,,-0.1343122399869204,,
2010-07-06,20.0,20.0,15.83,16.110001,16.110001,6866900,-0.160937491617839,,-0.17547007185494035,,
2010-07-07,16.4,16.629999,14.98,15.8,15.8,6921700,-0.019242767272329764,,-0.01943031922920638,,
2010-07-08,16.139999,17.52,15.57,17.459999,17.459999,7711400,0.10506322784810118,,0.0999025531047647,,
2010-07-09,17.58,17.9,16.549999,17.4,17.4,4050600,-0.0034363690398837576,,-0.003442286917202627,,
2010-07-12,17.950001,18.07,17.0,17.049999,17.049999,2202500,-0.020114999999999883,,-0.020320061141985542,,
2010-07-13,17.389999,18.639999,16.9,18.139999,18.139999,2680100,0.06392962251786649,,0.061969244481699784,,
2010-07-14,17.940001,20.15,17.76,19.84,19.84,4195200,0.09371560604826934,,0.08958071229652932,,
2010-07-15,19.940001,21.5,19.0,19.889999,19.889999,3739800,0.0025201108870966937,,0.002516940732631888,,
2010-07-16,20.700001,21.299999,20.049999,20.639999,20.639999,2621300,0.037707392544363616,,0.0370138495743897,,
2010-07-19,21.370001,22.25,20.92,21.91,21.91,2486500,0.061531059182706294,,0.05971226144362669,,
2010-07-20,21.85,21.85,20.049999,20.299999,20.299999,1825300,-0.0734824737562757,,-0.0763223168207185,,
2010-07-21,20.66,20.9,19.5,20.219999,20.219999,1252500,-0.003940886893639695,,-0.003948672650316677,,
2010-07-22,20.5,21.25,20.370001,21.0,21.0,957800,0.038575719019570576,,0.03785027358708294,,
2010-07-23,21.190001,21.559999,21.059999,21.290001,21.290001,653600,0.013809571428571532,,0.013715088152372748,,
2010-07-26,21.5,21.5,20.299999,20.950001,20.950001,922200,-0.015969938188354238,,-0.01609883177495314,,
